Company Name,CIN Number,Brand Name,Industry,Sector,NAICS Code,Business Description,City,Contact Name,Email,Website
ACTIOHX SOLUTIONS PRIVATE LIMITED,U64202PN2004PTC154566,Entercoms,IT & ITES,IT Services,,"Entercoms powers the service chain through business-driven IP and analytical models, domain expertise, operations support services and cross-industry best practices.",Pune,SHASHANK SHEKHAR PHADKE,payroll@actiohx.com,
HECTOR BEVERAGES PRIVATE LIMITED,U15549HR2009PTC039586,Hector Beverages,Food & Beverages,Beverages,311999,"Hector Beverages Private Limited is engaged in manufacturing soft drinks and beverages including chilled rasam, sattu drinks, ginger lemon tea, tulsi tea, aamras, jaljeera, kokum, jamun kala khatta, aam panna, golgappe ka pani, and more.",Gurugram,NEERAJ KUMAR KAKKAR,neeraj@hectorbeverages.com,https://www.hectorbeverages.com
AFG COMBUSTION PRIVATE LIMITED,U24110GJ1984PTC006875,AFG Combustion,Manufacturing,Chemicals,332618,"AFG Combustion Private Limited offers complete design, manufacturing, installation, and commissioning services for flare systems for refineries, petrochemicals, fertilizers, steel plants, oil and gas stations, and allied chemical industries.",Ahmedabad,DAMJI CHAMPSEY CHHEDA,corphq@hs.co.in,https://www.afgcombustion.com
CHHAPARIA INDUSTRIES PRIVATE LIMITED,U74999MH1998PTC113055,Chhaparia Industries,Manufacturing,Finished Plastic Products,326199,"Chhaparia Industries Private Limited manufacturer specializing in iron and steel mills and ferroalloy manufacturing. They offer architectural and structural metal products, forging, and stamping services. Their commitment to quality and innovation ensures reliable solutions for diverse industrial needs.",Mumbai,PAWAN KUMAR CHHAPARIA,pawanchhaparia@gmail.com,
AMBUJA GINNING PRESSING AND OIL COMPANY PVT LTD,U40201GJ1995PTC025008,Ambuja Ginning Pressing and Oil,Agri-business,Seeds,311224,"Ambuja Ginning Pressing and Oil is engaged in the business of lint cotton, cotton seeds, cotton seed oil cakes and cotton seed wash oil.",Bhavnagar,TULSIBHAI VALLABHBHAI KUKADIYA,ambujagp@yahoo.in,
ELLJAY TEXTILES PRIVATE LIMITED,U18101TZ1994PTC004974,Elljay Textiles,Textiles & Garments,Yarn,313110,"Elljay Textiles Private Limited is a Coimbatore-based manufacturer specializing in cotton yarn for various textile applications. With a focus on market demand, they deliver high-quality products to meet diverse industry needs. Their commitment to excellence ensures reliable and innovative solutions for the textile sector2.",Coimbatore,JAGANATH THULASIDHARAN,accounts.elljay@rajaratna.com,
ELECTROSTEEL CASTINGS LTD,L27310OR1955PLC000310,Electrosteel Castings,Manufacturing,Metals & Alloys,,"Electrosteel Castings Limited specializes in manufacturing ductile iron pipes and fittings. With over six decades of expertise, it serves water infrastructure needs globally, exporting to 110+ countries. Emphasizes innovation, quality, and sustainability, supporting safe drinking water and efficient water management systems worldwide.",Rajgangpur,INDRANIL MITRA,companysecretary@electrosteel.com,https://www.electrosteel.com
ROCHEM SERVICES PRIVATE LIMITED,U40200MH2009PTC190132,Concord Blue Technologies,Engg. & Construction,Waste Management,562998,"Roche Products (India) Private Limited  is a subsidiary of F. Hoffmann-La Roche Ltd. It markets and promotes Roche is pharmaceutical and diagnostic products in India. The company focuses on oncology, nephrology, rheumatology, and virology, ensuring compliance with Indian regulations and supporting clinical trials.",Navi Mumbai,PRAYAS GOEL,cs@rochem.in,https://rochemindia.com/
ADVENTITY GLOBAL SERVICES PRIVATE LIMITED,U72900MH2001PTC132057,Adventity Global Services,IT & ITES,BPO,541511,"Adventity Global Services Private Limited specializing in business process outsourcing (BPO) and IT services. The company offers a range of solutions, including call center services, data management, and IT support, catering to various industries globally.",Mumbai,ANIL JOSEPH,priti.vaidya@sutherlandglobal.com,
RAMCIDES CROPSCIENCE PRIVATE LIMITED,U24117TN1994PTC029550,Sree Ramcides,Agri-business,Agri Chemicals,325320,"Ramcides CropScience Private Limited develops and manufactures agrochemical solutions, including pesticides, herbicides, fungicides, and plant growth regulators. It provides innovative and sustainable crop protection products, helping farmers improve agricultural productivity while ensuring environmental safety.",Chennai,SRIKANTH SRIJA,info@ramcides.com,https://ramcides.com
BHOLENATH FOODS LIMITED,U74899DL1997PLC087965,Bholenath Foods,Agri-business,Rice,111160,BholeNath Foods Limited. has emerged as one of the most trusted and reputed companies in the global market. The company began its operations three decades ago and has grown to be one of the leading producers and exporters of high-quality premium basmati rice.,Delhi,ASHOK KUMAR,bnfoods@gmail.com,https://www.bholenathfoods.co.in
BIRD AUTOMOTIVE PRIVATE LIMITED.,U35111DL2006PTC148364,Bird Automotive,Engg. & Construction,Engineering & Design Services ,541330,"Bird Automotive Private Limited operates in the automotive sector, focusing on the manufacture and distribution of automotive components and accessories. The company offers a range of products including batteries, tires, and engine parts. Bird Automotive also provides services such as vehicle maintenance and repair. The company aims to meet the needs of both individual consumers and commercial clients in the automotive industry.",New Delhi,MEENA ROUTELA,cmd@bmw-birdautomotive.in,https://www.bmw-birdautomotive.in
